sample_id,expected_material,expected_material_cn,qc_result,grade,defect,disposition,surface_state,red_blue_ratio,nir_mean_800_1000,notes
qc_gold_fail_ox_0045,gold,黄金,fail,C,oxidation,reject,oxidized,1.19,0.4065,标称黄金，表面氧化发黑
qc_silver_fail_plating_0056,silver,白银,fail,C,plating_risk,quarantine,tarnished,1.51,0.8802,标称白银，疑似镀金/镀银
qc_gold_pass_0149,gold,黄金,pass,A,none,release,polished,2.1,0.9416,标称黄金饰品，产线质检 ROI
qc_silver_fail_contam_0009,silver,白银,fail,C,contamination,quarantine,contaminated,1.32,0.6577,标称白银，表面污染
qc_gold_fail_mismatch_0021,gold,黄金,fail,C,material_mismatch,reject,polished,1.11,0.8959,标称黄金，材质严重不符
qc_gold_pass_0096,gold,黄金,pass,A,none,release,polished,2.12,0.933,标称黄金饰品，产线质检 ROI
qc_gold_pass_0121,gold,黄金,pass,A,none,release,brushed,2.1,0.9373,标称黄金饰品，产线质检 ROI
qc_gold_fail_ox_0015,gold,黄金,fail,C,oxidation,reject,oxidized,1.45,0.3945,标称黄金，表面氧化发黑
qc_silver_pass_0144,silver,白银,pass,B,none,release,polished,1.05,0.954,标称白银饰品，产线质检 ROI
qc_gold_fail_plating_0034,gold,黄金,fail,C,plating_risk,quarantine,tarnished,1.42,0.8918,标称黄金，疑似镀金/镀银
qc_gold_pass_0044,gold,黄金,pass,B,none,release,polished,2.16,0.9463,标称黄金饰品，产线质检 ROI
qc_silver_fail_mismatch_0023,silver,白银,fail,C,material_mismatch,reject,polished,1.09,0.879,标称白银，材质严重不符
qc_silver_pass_0069,silver,白银,pass,B,none,release,brushed,1.01,0.9461,标称白银饰品，产线质检 ROI
qc_gold_recheck_copper_0059,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.36,0.8915,标称黄金，光谱疑似铜色替代
qc_silver_pass_0173,silver,白银,pass,B,none,release,brushed,1.01,0.9457,标称白银饰品，产线质检 ROI
qc_gold_fail_mismatch_0004,gold,黄金,fail,C,material_mismatch,reject,polished,2.15,0.8824,标称黄金，材质严重不符
qc_gold_recheck_copper_0063,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.33,0.8941,标称黄金，光谱疑似铜色替代
qc_silver_pass_0013,silver,白银,pass,A,none,release,polished,1.03,0.9488,标称白银饰品，产线质检 ROI
qc_silver_pass_0068,silver,白银,pass,B,none,release,polished,1.02,0.9377,标称白银饰品，产线质检 ROI
qc_silver_fail_ox_0014,silver,白银,fail,C,oxidation,reject,oxidized,1.56,0.3904,标称白银，表面氧化严重
qc_gold_pass_0016,gold,黄金,pass,B,none,release,polished,2.0,0.942,标称黄金饰品，产线质检 ROI
qc_gold_pass_0105,gold,黄金,pass,B,none,release,polished,2.02,0.9335,标称黄金饰品，产线质检 ROI
qc_gold_pass_0170,gold,黄金,pass,B,none,release,polished,2.23,0.9345,标称黄金饰品，产线质检 ROI
qc_silver_fail_ox_0020,silver,白银,fail,C,oxidation,reject,oxidized,1.63,0.4008,标称白银，表面氧化严重
qc_gold_pass_0074,gold,黄金,pass,A,none,release,brushed,2.08,0.938,标称黄金饰品，产线质检 ROI
qc_silver_pass_0105,silver,白银,pass,A,none,release,brushed,1.03,0.9489,标称白银饰品，产线质检 ROI
qc_gold_recheck_copper_0031,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.16,0.902,标称黄金，光谱疑似铜色替代
qc_gold_pass_0089,gold,黄金,pass,A,none,release,polished,2.09,0.9386,标称黄金饰品，产线质检 ROI
qc_gold_recheck_copper_0044,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.22,0.8896,标称黄金，光谱疑似铜色替代
qc_gold_pass_0028,gold,黄金,pass,B,none,release,polished,2.17,0.9307,标称黄金饰品，产线质检 ROI
qc_gold_pass_0014,gold,黄金,pass,A,none,release,polished,2.09,0.9476,标称黄金饰品，产线质检 ROI
qc_silver_recheck_0002,silver,白银,recheck,C,none,recheck,polished,1.1,0.9025,标称白银，光谱指标边界偏离
qc_gold_pass_0153,gold,黄金,pass,A,none,release,polished,2.06,0.932,标称黄金饰品，产线质检 ROI
qc_silver_fail_ox_0006,silver,白银,fail,C,oxidation,reject,oxidized,1.4,0.4096,标称白银，表面氧化严重
